termCode,termExtendedName,termShortName,scientific_name_clean,scope_note_clean,allFacets,nlp_text,nlp_word_count,common_names
A000M,Amaranth grains,,Amaranthus L. spp.,"Cereal grains from the plant classified under the genus Amaranthus L. spp., commonly known as Amaranth grains or Kiwicha. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000M#F01.A059A$F02.A066Q$F27.A000M$F33.A0C4A,"Amaranth grains. Kiwicha. Amaranthus L. spp. Cereal grains from the plant classified under the genus Amaranthus L. spp., commonly known as Amaranth grains or Kiwicha. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",66,Kiwicha
A000N,Buckwheat,,Fagopyrum esculentum Moensch,"Cereal grains from the plant classified under the species Fagopyrum esculentum Moensch, commonly known as Buckwheat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000N#F01.A059C$F02.A066Q$F27.A000N$F33.A0C4A,"Buckwheat. Fagopyrum esculentum Moensch. Cereal grains from the plant classified under the species Fagopyrum esculentum Moensch, commonly known as Buckwheat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",61,
A000P,Barley grains,,Hordeum vulgare L.,"Cereal grains from the plant classified under the species Hordeum vulgare L., commonly known as Barley grains. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000P#F01.A059D$F02.A066Q$F27.A000P$F33.A0C4A,"Barley grains. Hordeum vulgare L. Cereal grains from the plant classified under the species Hordeum vulgare L., commonly known as Barley grains. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",63,
A000Q,Kaniwa grain,,Chenopodium pallidicaule Aellen,"Cereal grains from the plant classified under the species Chenopodium pallidicaule Aellen, commonly known as Kaniwa grain or Canihua grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000Q#F01.A059E$F02.A066Q$F27.A000Q$F33.A0C4A,"Kaniwa grain. Canihua grain. Chenopodium pallidicaule Aellen. Cereal grains from the plant classified under the species Chenopodium pallidicaule Aellen, commonly known as Kaniwa grain or Canihua grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",68,Canihua grain
A000R,Quinoa grain,,Chenopodium quinoa Willd.,"Cereal grains from the plant classified under the species Chenopodium quinoa Willd., commonly known as Quinoa grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000R#F01.A059F$F02.A066Q$F27.A000R$F33.A0C4A,"Quinoa grain. Chenopodium quinoa Willd. Cereal grains from the plant classified under the species Chenopodium quinoa Willd., commonly known as Quinoa grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",63,
A000S,Maize and similar-,,,"The group includes any type of grain from Maize or species similar to Maize (corn) or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",A000S#F01.A058Z$F02.A066Q$F27.A000S$F33.A0C4A,"Maize and similar-. Corn and similar. The group includes any type of grain from Maize or species similar to Maize (corn) or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",34,Corn and similar
A000T,Maize grain,,Zea mays L. subsp. mays,"Cereal grains from the plant classified under the species Zea mays L. subsp. mays, commonly known as Maize grain or Corn grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000T#F01.A059G$F02.A066Q$F27.A000T$F33.A0C4A,"Maize grain. Corn grain. Zea mays L. subsp. mays. Cereal grains from the plant classified under the species Zea mays L. subsp. mays, commonly known as Maize grain or Corn grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",72,Corn grain
A000V,Popcorn kernels,,Zea mays L. subsp. averta,"Cereal grains from the plant classified under the species Zea mays L. subsp. averta, commonly known as Popcorn kernels. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000V#F01.A0EET$F02.A066Q$F27.A000V$F33.A0C4A,"Popcorn kernels. Zea mays L. subsp. averta. Cereal grains from the plant classified under the species Zea mays L. subsp. averta, commonly known as Popcorn kernels. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",67,
A000X,Teosinte grain,,Zea mays subsp. huehuetenangensis (H.H. Iltis & Doebley) Doebley$Zea mays subsp. mexicana (Schrad.) H.H. Iltis$Zea mays subsp. parviglumis H.H. Iltis & Doebley,"Cereal grains from the plant classified under the species Zea mays subsp. huehuetenangensis (H.H. Iltis & Doebley) Doebley or Zea mays subsp. mexicana (Schrad.) H.H. Iltis or Zea mays subsp. parviglumis H.H. Iltis & Doebley, commonly known as Teosinte grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000X#F01.A059H$F02.A066Q$F27.A000X$F33.A0C4A,"Teosinte grain. Zea mays subsp. huehuetenangensis (H.H. Iltis & Doebley) Doebley$Zea mays subsp. mexicana (Schrad.) H.H. Iltis$Zea mays subsp. parviglumis H.H. Iltis & Doebley. Cereal grains from the plant classified under the species Zea mays subsp. huehuetenangensis (H.H. Iltis & Doebley) Doebley or Zea mays subsp. mexicana (Schrad.) H.H. Iltis or Zea mays subsp. parviglumis H.H. Iltis & Doebley, commonly known as Teosinte grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",105,
A000Y,Common millet and similar-,,,"The group includes any type of grain from Common millet or species similar to Common millet or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",A000Y#F01.A058Z$F02.A066Q$F27.A000Y$F33.A0C4A,"Common millet and similar-. The group includes any type of grain from Common millet or species similar to Common millet or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",33,
A000Z,Barnyard millet,,Echinochloa esculenta (A. Braun) H. Scholz,"Cereal grains from the plant classified under the species Echinochloa esculenta (A. Braun) H. Scholz, commonly known as Barnyard millet or Japanese Millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A000Z#F01.A059K$F02.A066Q$F27.A000Z$F33.A0C4A,"Barnyard millet. Japanese Millet. Echinochloa esculenta (A. Braun) H. Scholz. Cereal grains from the plant classified under the species Echinochloa esculenta (A. Braun) H. Scholz, commonly known as Barnyard millet or Japanese Millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",74,Japanese Millet
A001A,Pearl millet grain,,Pennisetum glaucum (L.) R. Br.,"Cereal grains from the plant classified under the species Pennisetum glaucum (L.) R. Br., commonly known as Pearl millet grain or Bulrush millet or Cat-tail millet or Cattail millet or Pearl Millet or Spiked millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001A#F01.A059L$F02.A066Q$F27.A001A$F33.A0C4A,"Pearl millet grain. Bulrush millet. Cat-tail millet. Cattail millet. Pearl Millet. Spiked millet. Pennisetum glaucum (L.) R. Br. Cereal grains from the plant classified under the species Pennisetum glaucum (L.) R. Br., commonly known as Pearl millet grain or Bulrush millet or Cat-tail millet or Cattail millet or Pearl Millet or Spiked millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",94,Bulrush millet | Cat-tail millet | Cattail millet | Pearl Millet | Spiked millet
A001B,Common millet grain,,Panicum miliaceum L.,"Cereal grains from the plant classified under the species Panicum miliaceum L., commonly known as Common millet grain or Proso millet grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001B#F01.A059M$F02.A066Q$F27.A001B$F33.A0C4A,"Common millet grain. Proso millet grain. Panicum miliaceum L. Cereal grains from the plant classified under the species Panicum miliaceum L., commonly known as Common millet grain or Proso millet grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",72,Proso millet grain
A001C,Rice and similar-,,,"The group includes any type of grain from Rice or species similar to Rice or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",A001C#F01.A058Z$F02.A066Q$F27.A001C$F33.A0C4A,"Rice and similar-. The group includes any type of grain from Rice or species similar to Rice or sharing the same pesticide MRL, as defined by the EU pesticide regulation.",30,
A001D,Rice grain,,Oryza sativa L.,"Cereal grains from the plant classified under the species Oryza sativa L., commonly known as Rice grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001D#F01.A059Y$F02.A066Q$F27.A001D$F33.A0C4A,"Rice grain. Oryza sativa L. Cereal grains from the plant classified under the species Oryza sativa L., commonly known as Rice grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",63,
A001E,"Rice grain, brown",,particular cultivar of Oryza sativa L.,"Cereal grains from the plant classified under the species particular cultivar of Oryza sativa L., commonly known as Rice grain, brown. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001E#F01.A059Y$F02.A066Q$F27.A001E$F33.A0C4A,"Rice grain, brown. particular cultivar of Oryza sativa L. Cereal grains from the plant classified under the species particular cultivar of Oryza sativa L., commonly known as Rice grain, brown. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",71,
A001F,"Rice grain, long-grain",,particular cultivar of Oryza sativa L.,"Cereal grains from the plant classified under the species particular cultivar of Oryza sativa L., commonly known as Rice grain, long-grain or Basmati rice or Jasmine rice. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001F#F01.A059Z$F02.A066Q$F27.A001F$F33.A0C4A,"Rice grain, long-grain. Basmati rice. Jasmine rice. particular cultivar of Oryza sativa L. Cereal grains from the plant classified under the species particular cultivar of Oryza sativa L., commonly known as Rice grain, long-grain or Basmati rice or Jasmine rice. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",81,Basmati rice | Jasmine rice
A001G,"Rice grain, mixed",,,"The group includes any type of Rice grains from different cultivars of Oryza sativa L. mixed. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A001G#F01.A059Y$F02.A066Q$F27.A001G$F33.A0C4A,"Rice grain, mixed. The group includes any type of Rice grains from different cultivars of Oryza sativa L. mixed. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",41,
A001H,"Rice grain, red",,particular cultivar of Oryza sativa L.,"Cereal grains from the plant classified under the species particular cultivar of Oryza sativa L., commonly known as Rice grain, red. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001H#F01.A05AA$F02.A066Q$F27.A001H$F33.A0C4A,"Rice grain, red. particular cultivar of Oryza sativa L. Cereal grains from the plant classified under the species particular cultivar of Oryza sativa L., commonly known as Rice grain, red. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",71,
A001J,Indian rice grain,,Zizania palustris L.$Zizania acquatica L.,"Cereal grains from the plant classified under the species Zizania palustris L. or Zizania acquatica L., commonly known as Indian rice grain or Wild rice grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001J#F01.A05AC$F02.A066Q$F27.A001J$F33.A0C4A,"Indian rice grain. Wild rice grain. Zizania palustris L.$Zizania acquatica L. Cereal grains from the plant classified under the species Zizania palustris L. or Zizania acquatica L., commonly known as Indian rice grain or Wild rice grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",78,Wild rice grain
A001K,Rye grain,,Secale cereale L.,"Cereal grains from the plant classified under the species Secale cereale L., commonly known as Rye grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001K#F01.A05AD$F02.A066Q$F27.A001K$F33.A0C4A,"Rye grain. Secale cereale L. Cereal grains from the plant classified under the species Secale cereale L., commonly known as Rye grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",63,
A001L,Sorghum grain,,Sorghum bicolor L.,"Cereal grains from the plant classified under the species Sorghum bicolor L., commonly known as Sorghum grain or Chicken corn or Dari seed or Durra or Feterita or Guinea corn or Kaffir corn or Kaoliang or Milo or Shallu or Sorgo. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001L#F01.A05QM$F02.A066Q$F27.A001L$F33.A0C4A,"Sorghum grain. Chicken corn. Dari seed. Durra. Feterita. Guinea corn. Kaffir corn. Kaoliang. Milo. Shallu. Sorgo. Sorghum bicolor L. Cereal grains from the plant classified under the species Sorghum bicolor L., commonly known as Sorghum grain or Chicken corn or Dari seed or Durra or Feterita or Guinea corn or Kaffir corn or Kaoliang or Milo or Shallu or Sorgo. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",101,Chicken corn | Dari seed | Durra | Feterita | Guinea corn | Kaffir corn | Kaoliang | Milo | Shallu | Sorgo
A001M,Wheat and similar-,,Triticum spp.,"The group includes any type of grain from Wheat or species similar to Wheat (Triticum spp.) or sharing the same pesticide MRL, as defined by the EU pesticide regulation, such as Common wheat and Canadian hard winter wheat.",A001M#F01.A058Z$F02.A066Q$F27.A001M$F33.A0C4A,"Wheat and similar-. Common wheat. Canadian hard winter wheat. Triticum spp. The group includes any type of grain from Wheat or species similar to Wheat (Triticum spp.) or sharing the same pesticide MRL, as defined by the EU pesticide regulation, such as Common wheat and Canadian hard winter wheat.",49,Common wheat | Canadian hard winter wheat
A001N,Common wheat grain,,Triticum aestivum L.,"Cereal grains from the plant classified under the species Triticum aestivum L., commonly known as Common wheat grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001N#F01.A05AG$F02.A066Q$F27.A001N$F33.A0C4A,"Common wheat grain. Triticum aestivum L. Cereal grains from the plant classified under the species Triticum aestivum L., commonly known as Common wheat grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",65,
A001P,Durum wheat grain,,Triticum turgidum subsp. durum$Triticum durum,"Cereal grains from the plant classified under the species Triticum turgidum subsp. durum or Triticum durum, commonly known as Durum wheat grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001P#F01.A05AH$F02.A066Q$F27.A001P$F33.A0C4A,"Durum wheat grain. Triticum turgidum subsp. durum$Triticum durum. Cereal grains from the plant classified under the species Triticum turgidum subsp. durum or Triticum durum, commonly known as Durum wheat grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",71,
A001Q,Emmer wheat grain,,Triticum turgidum subsp. dicoccon$Triticum dicoccum,"Cereal grains from the plant classified under the species Triticum turgidum subsp. dicoccon or Triticum dicoccum, commonly known as Emmer wheat grain or Farro. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001Q#F01.A05AJ$F02.A066Q$F27.A001Q$F33.A0C4A,"Emmer wheat grain. Farro. Triticum turgidum subsp. dicoccon$Triticum dicoccum. Cereal grains from the plant classified under the species Triticum turgidum subsp. dicoccon or Triticum dicoccum, commonly known as Emmer wheat grain or Farro. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",74,Farro
A001R,Spelt grain,,Triticum aestivum subsp. Spelta (L.) Thell$Triticum spelta L.,"Cereal grains from the plant classified under the species Triticum aestivum subsp. Spelta (L.) Thell or Triticum spelta L., commonly known as Spelt grain or Spelta. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001R#F01.A05AK$F02.A066Q$F27.A001R$F33.A0C4A,"Spelt grain. Spelta. Triticum aestivum subsp. Spelta (L.) Thell$Triticum spelta L. Cereal grains from the plant classified under the species Triticum aestivum subsp. Spelta (L.) Thell or Triticum spelta L., commonly known as Spelt grain or Spelta. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",78,Spelta
A001S,Einkorn wheat grain,,Triticum monococcum L. subsp. monococcum,"Cereal grains from the plant classified under the species Triticum monococcum L. subsp. monococcum, commonly known as Einkorn wheat grain or Small spelt or One-grain wheat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001S#F01.A05AL$F02.A066Q$F27.A001S$F33.A0C4A,"Einkorn wheat grain. Small spelt. One-grain wheat. Triticum monococcum L. subsp. monococcum. Cereal grains from the plant classified under the species Triticum monococcum L. subsp. monococcum, commonly known as Einkorn wheat grain or Small spelt or One-grain wheat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",79,Small spelt | One-grain wheat
A001T,Khorasan wheat grain,,Triticum turgidum subsp. turanicum (Jacub.) Mk.,"Cereal grains from the plant classified under the species Triticum turgidum subsp. turanicum (Jacub.) Mk., commonly known as Khorasan wheat grain or Kamut®. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A001T#F01.A05AM$F02.A066Q$F27.A001T$F33.A0C4A,"Khorasan wheat grain. Kamut®. Triticum turgidum subsp. turanicum (Jacub.) Mk. Cereal grains from the plant classified under the species Triticum turgidum subsp. turanicum (Jacub.) Mk., commonly known as Khorasan wheat grain or Kamut®. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",74,Kamut®
